STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/14/2000,0.5,0,0,44,39
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/15/2000,0.52,0,0,55,42
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/16/2000,0.09,0,0,65,42
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/17/2000,0,0,0,76,58
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/18/2000,0.45,0,0,79,51
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/19/2000,0,0,0,52,44
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/20/2000,0,0,0,69,47
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/21/2000,0,0,0,72,50
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/22/2000,0,0,0,78,45
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/23/2000,0,0,0,62,44
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/24/2000,0,0,0,68,47
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/25/2000,0.16,0,0,68,49
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/26/2000,0.08,0,0,50,41
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/27/2000,0.22,0,0,60,44
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/28/2000,0.01,0,0,63,47
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/29/2000,0.51,0,0,54,44
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",4/30/2000,0.15,0,0,68,47
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/1/2000,0,0,0,75,50
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/2/2000,0,0,0,79,51
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/3/2000,0,0,0,74,56
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/4/2000,0,0,0,76,50
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/5/2000,0,0,0,81,54
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/6/2000,0,0,0,86,64
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/7/2000,0,0,0,87,65
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/8/2000,0,0,0,87,64
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/9/2000,0,0,0,86,65
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/10/2000,0,0,0,86,55
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/11/2000,0,0,0,85,54
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/12/2000,0,0,0,81,59
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/13/2000,0,0,0,91,64
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/14/2000,0,0,0,91,66
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/15/2000,0,0,0,81,50
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/16/2000,0,0,0,75,54
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/17/2000,0,0,0,81,57
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/18/2000,0,0,0,85,56
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/19/2000,0,0,0,84,59
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/20/2000,0,0,0,90,69
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/21/2000,0.11,0,0,91,64
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/22/2000,0.73,0,0,90,65
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/23/2000,0,0,0,81,58
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/24/2000,0,0,0,79,64
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/25/2000,0,0,0,88,69
