clipFilename,start,dur,itemId,itemFilename,itemUrl,itemTitle
Till-the-boys-come-home_00694067_056_00-03-58.wav,238005,278,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
Till-the-boys-come-home_00694067_057_00-03-58.wav,238283,488,00694067,00694067.wav,http://www.loc.gov/item/00694067/,'Till the boys come home
12th-Street-rag_00694040_001_00-00-30.wav,30929,279,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_002_00-00-31.wav,31208,255,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_003_00-00-31.wav,31463,557,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_004_00-00-32.wav,32020,140,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_005_00-00-32.wav,32160,209,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_006_00-00-32.wav,32369,116,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_007_00-00-32.wav,32485,185,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_008_00-00-32.wav,32670,117,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_009_00-00-32.wav,32787,232,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_010_00-00-33.wav,33019,93,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_011_00-00-33.wav,33112,139,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_012_00-00-33.wav,33251,163,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_013_00-00-33.wav,33414,139,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_014_00-00-33.wav,33553,186,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_015_00-00-33.wav,33739,209,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_016_00-00-34.wav,34017,209,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_017_00-01-01.wav,61068,117,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_018_00-01-01.wav,61254,372,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_019_00-01-01.wav,61626,278,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_020_00-01-01.wav,61904,140,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_021_00-01-02.wav,62044,487,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_022_00-01-02.wav,62531,302,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_023_00-01-02.wav,62903,186,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
